2017-04-29 18:54:16,158 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mkyong.common:RESTfulExample:1.0-SNAPSHOT @ /home/nelson/Documentos/Proyectos Java/Prueba/JavaRest/RESTfulExample/pom.xml.
2017-04-29 18:54:17,982 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RESTfulExample/src/main/java
2017-04-29 18:54:17,983 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /RESTfulExample/src/main/resources
2017-04-29 18:54:17,983 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RESTfulExample/src/test/java
2017-04-29 18:54:19,796 [Worker-12] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 6 sec
2017-04-29 18:54:22,271 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-29 18:54:22,327 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-29 18:54:22,329 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-29 18:54:22,330 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/nelson/Documentos/Proyectos Java/Prueba/JavaRest/RESTfulExample/src/test/resources
2017-04-29 18:55:00,770 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-04-29 18:55:01,196 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mkyong.common:RESTfulExample:1.0-SNAPSHOT @ /home/nelson/Documentos/Proyectos Java/Prueba/JavaRest/RESTfulExample/pom.xml.
2017-04-29 18:55:01,900 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RESTfulExample/src/main/java
2017-04-29 18:55:01,900 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /RESTfulExample/src/main/resources
